tipo_bem_servico,tipo
Arroz,bem
Feijão,bem
Massa,bem
Azeite,bem
Açúcar,bem
Sal,bem
Leite,bem
Conservas de peixe,bem
Sopa em pó,bem
Farinha,bem
Casaco de inverno,bem
Calças de ganga,bem
Camisolas,bem
Meias,bem
Roupa interior,bem
Sapatos,bem
Botas de chuva,bem
Fraldas,bem
Champô,bem
Gel de banho,bem
Pasta de dentes,bem
Papel higiénico,bem
Pensos higiénicos,bem
Sabonete,bem
Paracetamol,bem
Ibuprofeno,bem
Pensos rápidos,bem
Álcool etílico,bem
Termómetro,bem
Medidor de tensão,bem
Vitaminas,bem
Cadernos,bem
Lápis e canetas,bem
Mochila escolar,bem
Livros escolares,bem
Régua e compasso,bem
Borracha,bem
Passe mensal,bem
Bilhete de autocarro,bem
Bilhete de metro,bem
Cobertor,bem
Lençóis,bem
Almofada,bem
Toalhas de banho,bem
Detergente para a roupa,bem
Lixívia,bem
Esfregão,bem
Brinquedos para crianças,bem
Material de escritório,bem
Pilhas,bem
Velas,bem
Lanternas,bem
Consulta médica,servico
Consulta de enfermagem,servico
Fisioterapia,servico
Apoio psicológico,servico
Transporte para consultas,servico
Explicações escolares,servico
Aulas de português para imigrantes,servico
Formação profissional,servico
Apoio à literacia digital,servico
Reparações domésticas,servico
Limpeza de habitação,servico
Apoio ao arrendamento,servico
Pinturas e obras,servico
Transporte de idosos,servico
Transporte escolar,servico
Serviço de mobilidade reduzida,servico
Apoio jurídico,servico
Apoio social,servico
Acompanhamento de idosos,servico
Cuidados ao domicílio,servico
Banco de horas voluntário,servico
