negocio_nif_nipc,tipo_bem_servico,descricao,valor_total,desconto
967776813,formacao profissional,Neque cupiditate ex cupiditate corrupti in illum sunt omnis sit quisquam quos.,4726.2,36.55
928484954,casaco de inverno,Quaerat nemo consequuntur hic nihil modi vitae consequuntur reiciendis minima fuga reiciendis.,3654.91,31.56
954219021,esfregao,Quos explicabo quia maiores odit reiciendis non necessitatibus blanditiis rem temporibus totam.,4855.42,47.3
978037188,cobertor,Earum laudantium velit fuga iusto veniam atque laudantium et.,437.29,1.02
973085850,acompanhamento de idosos,Deserunt culpa libero impedit aliquid quae incidunt modi magnam.,4451.59,5.56
902055495,azeite,Quis quod exercitationem provident veniam sint iure ipsam beatae mollitia.,3957.96,17.93
903657829,servico de mobilidade reduzida,Quam amet ducimus eum laborum ipsa et.,3116.1,8.25
572959203,roupa interior,Omnis omnis sed iste reprehenderit amet explicabo nobis optio quae natus hic aperiam expedita.,1587.85,16.56
901090939,termometro,Illum inventore nulla animi blanditiis quas.,2882.34,10.54
917992934,pensos rapidos,Laborum nobis ducimus fugiat sed itaque debitis.,4833.82,10.6
961417228,toalhas de banho,Optio animi iure optio nemo tempora aliquam molestiae eos ipsa perferendis neque nostrum.,1943.38,43.24
958744086,material de escritorio,Enim ex ratione illo iusto dignissimos officia itaque.,3019.84,36.65
928484954,apoio a literacia digital,Ab at quia praesentium repudiandae nemo non.,2325.26,20.62
992503534,calcas de ganga,Nobis qui et voluptatum tempora ipsam quis vitae recusandae quia.,1232.28,7.98
919212066,apoio psicologico,Recusandae iure explicabo eum aperiam provident harum dolore necessitatibus.,1613.47,10.77
976015651,formacao profissional,Sed quos deserunt occaecati tempore perspiciatis optio doloribus molestias adipisci veritatis deserunt dignissimos.,3142.4,28.43
915628456,detergente para a roupa,Quaerat ratione excepturi officiis ipsum fugit minus dolorum laudantium praesentium ipsam.,3449.36,39.55
908705166,vitaminas,Ipsam laborum unde laborum enim vero enim suscipit earum minima tempora.,3368.65,28.97
925514775,lapis e canetas,Eius praesentium voluptatibus veritatis eligendi velit ea.,2915.56,14.45
975246642,acompanhamento de idosos,Ex aliquid eum velit eligendi omnis odit laudantium distinctio expedita.,4896.14,4.4
992503534,fisioterapia,Possimus quam nulla ab fugiat voluptatibus error doloribus molestiae beatae ex.,2701.08,18.49
994834524,alcool etilico,Corporis officia libero perspiciatis veniam autem molestiae tempore hic recusandae quae.,4177.59,27.7
924868537,feijao,Nisi doloribus mollitia quos non sequi alias.,3157.13,0.02
906585331,bilhete de metro,Dignissimos quasi impedit voluptas aliquam commodi.,3684.54,49.18
572959203,gel de banho,Perferendis quam nisi repellat id debitis deserunt eaque atque provident.,4744.57,18.69
996844062,cadernos,Illum sequi praesentium nobis consectetur dolore ut placeat reiciendis doloremque.,3988.34,47.06
968005096,cobertor,Distinctio dolores sequi ipsam eum voluptatem.,4909.59,49.38
996844062,casaco de inverno,Repellendus omnis cum animi explicabo laboriosam quae non dolores accusantium pariatur totam.,3614.6,5.12
906585331,regua e compasso,Cumque molestias pariatur ad autem iste quaerat ipsum repudiandae aliquid exercitationem sunt.,4854.23,22.92
996844062,ibuprofeno,Vero cupiditate enim doloribus soluta sapiente laboriosam doloribus at.,2335.46,5.5
905089392,passe mensal,Perferendis consectetur architecto asperiores eaque consequuntur sit itaque modi.,100.23,36.28
595210799,material de escritorio,Tempore numquam dignissimos consequuntur maiores voluptatem tempora praesentium illo hic ipsum quisquam nihil beatae.,647.95,42.77
902055495,alcool etilico,Eveniet nam illo assumenda quae ullam consequuntur aspernatur qui atque natus animi.,1067.18,31.21
969138810,lixivia,Commodi mollitia pariatur soluta facilis nisi atque nam nam beatae saepe nam repellendus.,4047.13,42.81
980929750,acucar,Neque accusamus eius necessitatibus debitis nam rerum ea.,3195.66,22.9
968005096,cuidados ao domicilio,Nisi blanditiis at provident cum dolore ipsum.,1860.33,33.59
958744086,banco de horas voluntario,Incidunt corrupti magni itaque minus corporis iure cumque culpa unde maxime perferendis.,631.02,40.89
965429662,roupa interior,Quae quo pariatur ipsum vitae rerum voluptatum assumenda aliquam est.,3977.32,4.76
906585331,consulta medica,Nihil eaque laboriosam sequi officiis maxime cupiditate temporibus illum.,173.42,33.2
533577494,apoio social,Officia perspiciatis laboriosam recusandae harum quidem aperiam.,3838.31,39.42
944392924,sapatos,Aliquam nihil impedit blanditiis quas perspiciatis nesciunt tenetur quos.,908.48,9.73
902055495,borracha,Ad dignissimos perspiciatis temporibus sed eos voluptas ipsam.,3023.2,40.6
920420578,brinquedos para criancas,Id nesciunt reprehenderit aliquam consequuntur commodi possimus eveniet rem magni fugit iusto.,1349.95,47.4
919212066,consulta de enfermagem,Minima veritatis unde illum quibusdam cupiditate et vero deserunt doloremque quo.,4944.72,22.48
903083659,ibuprofeno,Illum voluptate hic nulla similique error quibusdam doloribus voluptatibus nobis doloremque placeat.,1138.69,0.52
954219021,bilhete de autocarro,Quibusdam nobis natus consequatur perferendis laborum sed cumque.,4228.39,0.92
961417228,apoio ao arrendamento,Alias temporibus at vitae impedit dolorem neque consectetur vitae enim.,3929.89,41.75
970756557,termometro,Aliquid saepe ut doloremque laboriosam veniam porro error dicta cumque aperiam perspiciatis necessitatibus.,2298.83,42.51
909981570,acompanhamento de idosos,Quasi quis repellendus laudantium ab ea similique placeat.,3033.14,7.15
901090939,apoio social,Ea deleniti impedit harum debitis eos veritatis excepturi officia aspernatur.,184.43,27.17
903657829,detergente para a roupa,Aliquid error accusantium modi autem saepe.,1177.38,8.89
972787896,reparacoes domesticas,Saepe iusto fuga quia error dolorum fugiat molestias repellat quas.,180.52,27.84
909981570,sal,Natus perferendis quae minus similique enim vel ducimus esse sunt.,1205.54,12.2
928484954,botas de chuva,Unde impedit id blanditiis eveniet nihil quia pariatur amet et omnis totam.,4952.53,8.89
969138810,consulta de enfermagem,Eos consequuntur tempore voluptatem architecto dignissimos officia debitis autem illum natus rem.,4911.26,21.25
915645269,transporte escolar,Eum quod provident temporibus eos rem assumenda ut possimus pariatur quam voluptatibus deleniti.,1768.59,23.91
978037188,roupa interior,Consequuntur nisi voluptate voluptate nemo ut dolore maiores id vero saepe minima.,1043.23,29.82
901090939,massa,Dolor sunt repellat ratione assumenda repudiandae debitis magnam reiciendis incidunt laudantium delectus.,649.06,31.8
524361647,limpeza de habitacao,Mollitia soluta voluptates blanditiis quia rem.,4402.98,35.85
989450379,acompanhamento de idosos,Iure officia libero fugit reprehenderit est recusandae ut sunt doloribus omnis adipisci.,1820.01,41.22
917794184,acompanhamento de idosos,Laborum exercitationem atque animi ipsam error.,1796.36,11.48
917992934,apoio ao arrendamento,Quia voluptatem esse architecto in recusandae accusantium.,3277.36,36.4
978236636,ibuprofeno,Voluptate et animi quia natus modi nesciunt quod ab voluptate optio.,3544.12,35.98
924868537,cuidados ao domicilio,Amet non sunt delectus maiores laboriosam ratione itaque esse quo.,1686.4,35.85
972787896,pensos higienicos,Voluptas nisi quaerat unde facilis facilis commodi nostrum explicabo reiciendis animi doloribus ad.,3850.63,38.36
923658719,banco de horas voluntario,Sunt quibusdam ullam deleniti quae consequatur.,1198.5,11.78
961417228,lixivia,Et aspernatur laudantium deleniti recusandae voluptatem aperiam in mollitia reiciendis sed.,2324.9,46.7
965429662,apoio ao arrendamento,Animi vero suscipit sequi laudantium officiis ex.,3651.15,47.05
936419794,consulta medica,Numquam magnam delectus quas animi beatae modi vitae quisquam nihil.,1065.05,47.68
925514775,pensos higienicos,Pariatur repellat deleniti vitae beatae neque nobis odit.,414.9,41.3
972787896,explicacoes escolares,Delectus rerum quae at possimus quod magni cumque quibusdam unde itaque similique.,3925.57,25.2
978037188,esfregao,Quos quasi nesciunt vel suscipit ipsum perferendis ipsam sequi.,2898.69,44.23
989450379,botas de chuva,Perspiciatis impedit ab sequi laboriosam asperiores soluta laboriosam odit.,469.44,33.84
976015651,cadernos,Quaerat inventore alias beatae consequatur odit mollitia architecto.,3104.97,13.64
915628456,botas de chuva,Dolore omnis ratione illum dolore et magnam minus earum.,4610.11,32.93
595210799,apoio social,Blanditiis ullam dicta iusto optio odit quia sequi eum.,2842.7,17.02
915645269,reparacoes domesticas,Mollitia a deleniti veniam quidem rerum nisi illo repellendus consequuntur.,3682.63,45.99
928484954,acucar,Eligendi quia dolore repudiandae dolor debitis delectus dolor magni consectetur corporis.,719.42,26.45
917992934,limpeza de habitacao,Est nulla nobis eligendi modi iste deserunt distinctio asperiores quae qui culpa dicta.,839.27,7.85
934826898,sabonete,Quas nostrum quod iste culpa corrupti natus reprehenderit impedit necessitatibus.,2712.51,29.44
909981570,transporte de idosos,Voluptatum dolorem blanditiis quibusdam perspiciatis expedita tempore labore dolorum aut alias cum numquam.,3975.07,8.05
992503534,massa,Ratione voluptatibus ipsa enim mollitia sapiente est.,1723.18,30.25
970756557,apoio psicologico,Quam eos dolorum dolores repellendus incidunt facere dolores voluptate neque quos.,610.43,7.06
920420578,bilhete de metro,Possimus reprehenderit inventore eaque modi quidem sit quod similique natus dignissimos.,4366.48,26.0
978236636,formacao profissional,Minus asperiores iusto sunt assumenda eaque officiis praesentium voluptatibus.,2576.62,8.84
908705166,servico de mobilidade reduzida,Illum itaque natus enim voluptatibus nam.,325.84,17.4
996844062,fisioterapia,Quos quis eum officia reiciendis iure totam dolor exercitationem.,4796.21,2.05
954219021,lapis e canetas,Impedit delectus sed exercitationem cum repudiandae dolor commodi quidem qui dolor maiores.,752.87,13.84
975246642,brinquedos para criancas,Molestias sunt officia odio soluta quod.,4019.83,12.68
524361647,passe mensal,Laboriosam hic ipsa animi asperiores quas iusto earum error alias.,4293.02,20.86
958744086,transporte para consultas,Porro aperiam possimus occaecati neque dignissimos modi provident eaque ad explicabo.,1820.44,41.41
919212066,banco de horas voluntario,Facilis doloremque nulla tenetur atque enim dolore consectetur.,614.61,44.18
923658719,sapatos,Nesciunt laboriosam quia mollitia delectus recusandae.,3090.16,47.39
944392924,casaco de inverno,Reiciendis voluptatibus amet sunt sed rem inventore fugit sequi blanditiis.,3442.89,35.05
967776813,ibuprofeno,Molestias nisi earum rem sint pariatur eligendi.,798.49,0.66
996844062,banco de horas voluntario,Necessitatibus fuga voluptatibus rerum inventore rem eligendi voluptates animi facilis accusamus.,2257.01,9.05
978037188,pensos rapidos,Debitis reprehenderit atque nulla reprehenderit aut.,4479.12,45.5
595210799,cadernos,Voluptates beatae ipsa odit natus assumenda.,4601.88,1.49
925514775,acompanhamento de idosos,Accusantium soluta culpa fuga qui ad.,1103.41,12.92
927514611,bilhete de autocarro,Sequi architecto exercitationem quibusdam iste totam quas perspiciatis.,810.53,0.29
