nif_nipc,codigo_postal,geo_latitude,geo_longitude,url_comprovativo_estatuto
967387839,1700-172,38.7167,-9.1333,https://docs.instituicoes.pt/967387839.pdf
992093914,2025-999,39.415,-8.8219,https://docs.instituicoes.pt/992093914.pdf
967914695,4805-478,41.4852,-8.3518,https://docs.instituicoes.pt/967914695.pdf
997551745,9060-114,32.6333,-16.9,https://docs.instituicoes.pt/997551745.pdf
508755163,4440-376,41.2104,-8.4549,https://docs.instituicoes.pt/508755163.pdf
944037503,5370-644,41.4952,-7.2354,https://docs.instituicoes.pt/944037503.pdf
945493951,1495-234,38.7025,-9.2294,https://docs.instituicoes.pt/945493951.pdf
979134924,6200-455,40.286,-7.504,https://docs.instituicoes.pt/979134924.pdf
976676541,2855-199,38.645,-9.1484,https://docs.instituicoes.pt/976676541.pdf
973008435,4720-446,41.6528,-8.3971,https://docs.instituicoes.pt/973008435.pdf
580774682,2845-456,38.6296,-9.1156,https://docs.instituicoes.pt/580774682.pdf
557033399,4805-478,41.4852,-8.3518,https://docs.instituicoes.pt/557033399.pdf
902141722,1495-234,38.7025,-9.2294,https://docs.instituicoes.pt/902141722.pdf
588288768,4600-683,41.2766,-8.0545,https://docs.instituicoes.pt/588288768.pdf
506956999,4410-360,41.0619,-8.6319,https://docs.instituicoes.pt/506956999.pdf
968569822,8650-355,37.0086,-8.9431,https://docs.instituicoes.pt/968569822.pdf
927282478,4905-280,41.7131,-8.6867,https://docs.instituicoes.pt/927282478.pdf
594348492,2510-171,39.3547,-9.163,https://docs.instituicoes.pt/594348492.pdf
918411827,4720-446,41.6528,-8.3971,https://docs.instituicoes.pt/918411827.pdf
599492531,9060-114,32.6333,-16.9,https://docs.instituicoes.pt/599492531.pdf
995952980,6200-588,40.3145,-7.4576,https://docs.instituicoes.pt/995952980.pdf
585700564,8600-503,37.102,-8.6742,https://docs.instituicoes.pt/585700564.pdf
995212368,3045-332,40.1895,-8.5249,https://docs.instituicoes.pt/995212368.pdf
540268318,2680-525,38.8259,-9.1223,https://docs.instituicoes.pt/540268318.pdf
913953422,4590-563,41.2766,-8.3762,https://docs.instituicoes.pt/913953422.pdf
936269882,2240-109,39.7389,-8.4608,https://docs.instituicoes.pt/936269882.pdf
967325747,5425-307,41.6401,-7.5717,https://docs.instituicoes.pt/967325747.pdf
581226300,5100-462,41.1196,-7.9417,https://docs.instituicoes.pt/581226300.pdf
538807736,9680-314,37.7167,-25.45,https://docs.instituicoes.pt/538807736.pdf
958359723,5090-107,41.406,-7.4548,https://docs.instituicoes.pt/958359723.pdf
576430922,5425-307,41.6401,-7.5717,https://docs.instituicoes.pt/576430922.pdf
990974636,4410-002,41.051,-8.6161,https://docs.instituicoes.pt/990974636.pdf
918151672,4440-376,41.2104,-8.4549,https://docs.instituicoes.pt/918151672.pdf
511637504,2740-125,38.7175,-9.2983,https://docs.instituicoes.pt/511637504.pdf
512954064,2410-300,39.7436,-8.8071,https://docs.instituicoes.pt/512954064.pdf
582431124,1950-157,38.7167,-9.1333,https://docs.instituicoes.pt/582431124.pdf
934695735,3620-049,40.9801,-7.7114,https://docs.instituicoes.pt/934695735.pdf
972775753,4440-376,41.2104,-8.4549,https://docs.instituicoes.pt/972775753.pdf
983762616,2760-062,38.7031,-9.2767,https://docs.instituicoes.pt/983762616.pdf
950124318,4835-421,41.4444,-8.2962,https://docs.instituicoes.pt/950124318.pdf
944355262,1170-285,38.7167,-9.1333,https://docs.instituicoes.pt/944355262.pdf
542006431,9240-213,32.7803,-17.0352,https://docs.instituicoes.pt/542006431.pdf
518345970,4410-360,41.0619,-8.6319,https://docs.instituicoes.pt/518345970.pdf
916366458,4635-687,41.21,-8.2033,https://docs.instituicoes.pt/916366458.pdf
562020072,6090-456,40.0886,-7.2385,https://docs.instituicoes.pt/562020072.pdf
565864123,9200-032,32.7072,-16.8183,https://docs.instituicoes.pt/565864123.pdf
513910985,2625-115,38.861,-9.0645,https://docs.instituicoes.pt/513910985.pdf
549483959,4440-376,41.2104,-8.4549,https://docs.instituicoes.pt/549483959.pdf
965631927,2680-525,38.8259,-9.1223,https://docs.instituicoes.pt/965631927.pdf
918313185,2845-456,38.6296,-9.1156,https://docs.instituicoes.pt/918313185.pdf
