codigo_postal,rua,freguesia,concelho,distrito,n_porta,pais
4420-200,Travessa Fonseca,Gondomar,Gondomar,Porto,83,Portugal
2140-314,Av de Pacheco,Pinheiro Grande,Chamusca,Santarém,42,Portugal
4580-599,R. de Silva,Mouriz,Paredes,Porto,69,Portugal
2735-418,Avenida das Musas,Agualva-Cacém,Sintra,Lisboa,14,Portugal
2425-818,Travessa Alves,Chã da Laranjeira,Leiria,Leiria,01,Portugal
1990-077,Praça Jesus,Lisboa,Lisboa,Lisboa,35,Portugal
2840-239,Rua Cláudio Marques,Cavaquinhas,Seixal,Setúbal,10,Portugal
4475-313,Travessa Campos,Maia,Maia,Porto,52,Portugal
5300-670,Largo Fonseca,Bragança,Bragança,Bragança,65,Portugal
3405-329,Alameda Guerreiro,Lajeosa,Oliveira do Hospital,Coimbra,97,Portugal
6420-715,Av Daniela Cardoso,Vila Franca das Naves,Trancoso,Guarda,24,Portugal
2540-060,Travessa das Escadas do Monte dos Judeus,Bombarral,Bombarral,Leiria,95,Portugal
3400-472,Alameda Fabiana Morais,Nogueira do Cravo,Oliveira do Hospital,Coimbra,09,Portugal
2695-099,Alameda Luís Ferreira,São João da Talha,Loures,Lisboa,14,Portugal
4445-483,Travessa de Godim,Ermesinde,Valongo,Porto,70,Portugal
2410-493,R. Esteves,Telheiro,Leiria,Leiria,94,Portugal
3140-585,R. Carneiro,Pochos,Montemor-o-Velho,Coimbra,70,Portugal
1750-285,Rua de Esteves,Lisboa,Lisboa,Lisboa,21,Portugal
6120-541,Largo do Trancão,Ortiga,Mação,Santarém,29,Portugal
4535-088,Avenida de Sousa,Lourosa,Santa Maria da Feira,Aveiro,41,Portugal
2560-157,R. Carvalho,Ponte do Rol,Torres Vedras,Lisboa,94,Portugal
3750-473,R. S. Bartolomeu,Fermentelos,Águeda,Aveiro,55,Portugal
9560-108,Praça das Pedras,Lagoa,Lagoa,Azores,02,Portugal
9900-156,Alameda do Maestro Afonso Valentim,Horta,Horta,Azores,93,Portugal
7220-117,Travessa Domingues,Amieira,Portel,Évora,31,Portugal
4610-412,R. Azevedo,Lagares,Felgueiras,Porto,84,Portugal
2790-082,R. Freitas,Carnaxide,Oeiras,Lisboa,43,Portugal
9980-028,Largo de Baptista,Corvo,Corvo,Azores,66,Portugal
4575-069,Largo Luciana Matias,Alpendorada e Matos,Marco de Canaveses,Porto,58,Portugal
3460-579,Largo de Martins,Tondela,Tondela,Viseu,21,Portugal
2565-196,Praça Helena Monteiro,Quinta de Santo António,Torres Vedras,Lisboa,61,Portugal
5210-201,Praça Sousa,Miranda do Douro,Miranda do Douro,Bragança,69,Portugal
4625-121,Rua Garcia,Favões,Marco de Canaveses,Porto,35,Portugal
4595-082,Largo Rui Mendes,Eiriz,Paços de Ferreira,Porto,35,Portugal
2520-220,Rua de D. Pedro Pitões,Peniche,Peniche,Leiria,59,Portugal
2410-143,R. de Guerreiro,Leiria,Leiria,Leiria,87,Portugal
6185-309,Avenida das Carquejeiras,Orvalho,Oleiros,Castelo Branco,78,Portugal
3300-059,Avenida Teresa Carneiro,Arganil,Arganil,Coimbra,76,Portugal
2725-300,Largo da Expo 98,Mem Martins,Sintra,Lisboa,10,Portugal
5100-836,Alameda Gil Matos,Torrão,Lamego,Viseu,45,Portugal
4905-246,Alameda de Domingues,Carvoeiro,Viana do Castelo,Viana do Castelo,61,Portugal
3060-437,Rua Egito Gonçalves,Murtede,Cantanhede,Coimbra,78,Portugal
1150-002,R. de Nogueira,Lisboa,Lisboa,Lisboa,62,Portugal
4860-169,Praça Abreu,Cavez,Cabeceiras de Basto,Braga,76,Portugal
3045-059,Largo Freitas,Coimbra,Coimbra,Coimbra,12,Portugal
9760-323,Alameda de Morais,Lajes,Vila da Praia da Vitória,Azores,60,Portugal
6370-199,R. Guilherme Fonseca,Fornos de Algodres,Fornos de Algodres,Guarda,83,Portugal
2460-784,Largo Morais,Turquel,Alcobaça,Leiria,31,Portugal
9900-040,Alameda Araújo,Horta,Horta,Azores,20,Portugal
3000-223,Praça de Magalhães,Coimbra,Coimbra,Coimbra,60,Portugal
7200-290,Avenida de Moreira,Reguengos de Monsaraz,Reguengos de Monsaraz,Évora,08,Portugal
2695-527,R. de Barbosa,São João da Talha,Loures,Lisboa,01,Portugal
2785-614,Largo Castro,Tires,Cascais,Lisboa,60,Portugal
6090-294,R. de Neto,Bemposta,Penamacor,Castelo Branco,48,Portugal
5230-037,Rua Alves,Argozelo,Vimioso,Bragança,99,Portugal
2795-044,Avenida Tomás Mendes,Linda a Velha,Oeiras,Lisboa,51,Portugal
9970-089,Largo do Colégio,Ponta Delgada,Santa Cruz das Flores,Azores,59,Portugal
7570-498,Av de Rocha,Fontaínhas da Barroca,Grândola,Setúbal,31,Portugal
9400-240,Largo de Almeida,Porto Santo,Porto Santo,Madeira,09,Portugal
4575-293,Largo da Ponte da Lama,Paredes,Penafiel,Porto,73,Portugal
3865-134,Travessa Macedo,Fermelã,Estarreja,Aveiro,41,Portugal
3030-208,Largo Barros,Coimbra,Coimbra,Coimbra,51,Portugal
6000-194,R. Vasco Martins,Castelo Branco,Castelo Branco,Castelo Branco,61,Portugal
6230-292,Alameda Joel Vicente,Fundão,Fundão,Castelo Branco,16,Portugal
2820-518,R. Cuf,Charneca de Caparica,Almada,Setúbal,15,Portugal
4520-996,Largo Andrade,Padrão,Santa Maria da Feira,Aveiro,92,Portugal
9360-211,Rua de Nunes,Ponta do Sol,Ponta do Sol,Madeira,06,Portugal
3880-163,Rua de Leal,Ovar,Ovar,Aveiro,87,Portugal
4795-478,Avenida Batista,São Martinho do Campo,Santo Tirso,Porto,17,Portugal
4415-642,R. de Fernandes,Lever,Vila Nova de Gaia,Porto,02,Portugal
5400-733,Largo Neves,Polide,Chaves,Vila Real,06,Portugal
4830-215,Rua Renato Melo,Frades,Póvoa de Lanhoso,Braga,85,Portugal
5130-201,Avenida de Palma,Ervedosa do Douro,São João da Pesqueira,Viseu,47,Portugal
2865-262,Travessa de Moreira,Pinhal General,Seixal,Setúbal,59,Portugal
4700-862,Largo Micael Fernandes,São Pedro Merelim,Braga,Braga,94,Portugal
4815-625,Praça de Vaz,Tagilde,Vizela,Braga,36,Portugal
2620-390,R. de Gondomar,Ramada,Odivelas,Lisboa,27,Portugal
2730-298,R. dos Pardais,Barcarena,Oeiras,Lisboa,87,Portugal
3220-507,Rua Loureiro,Corga,Miranda do Corvo,Coimbra,66,Portugal
2685-114,Rua Tavares,Sacavém,Loures,Lisboa,63,Portugal
6260-185,R. de Correia,Manteigas,Manteigas,Guarda,85,Portugal
3320-248,Avenida do Parque,Pampilhosa da Serra,Pampilhosa da Serra,Coimbra,55,Portugal
2770-060,Alameda Sousa,Paço de Arcos,Oeiras,Lisboa,06,Portugal
2640-073,R. de Eduardo Soares,Pucariça,Mafra,Lisboa,84,Portugal
4770-481,Rua das Andrezas,Ruivães,Vila Nova de Famalicão,Braga,37,Portugal
7900-190,Travessa de Cardoso,Quinta das Oliveiras,Ferreira do Alentejo,Beja,50,Portugal
2835-515,Av Sousa,Vila Chã,Barreiro,Setúbal,12,Portugal
2900-568,Rua Mendes,Setúbal,Setúbal,Setúbal,37,Portugal
3000-403,Rua Lara Guerreiro,Coimbra,Coimbra,Coimbra,12,Portugal
7600-337,Praça de Fonseca,Messejana,Aljustrel,Beja,34,Portugal
4635-252,Rua Assunção,Santo Isidoro,Marco de Canaveses,Porto,38,Portugal
4445-126,Rua de Sousa,Alfena,Valongo,Porto,41,Portugal
2435-279,Alameda Raquel Ramos,Freixianda,Ourém,Santarém,54,Portugal
2200-212,Rua Lourenço,Abrantes,Abrantes,Santarém,87,Portugal
2740-175,Largo Naiara Mendes,Porto Salvo,Oeiras,Lisboa,62,Portugal
5060-541,Largo Ivo Lima,Vinheiros,Sabrosa,Vila Real,76,Portugal
2645-387,Travessa de Rodrigues,Bicesse,Cascais,Lisboa,19,Portugal
2820-446,R. de Moura,Charneca de Caparica,Almada,Setúbal,34,Portugal
4810-540,Av Yasmin Melo,Guimarães,Guimarães,Braga,35,Portugal
1250-135,R. de Miranda,Lisboa,Lisboa,Lisboa,47,Portugal
