estado,codigo_mestre,geo_latitude,geo_longitude,id_locker
DISPONIVEL,HF70Jk86mp68Bw89,41.1496,-8.611,1
INDISPONIVEL,GR26gb36tM34aQ45,41.2357,-8.6199,2
DISPONIVEL,tr55RG12jn66AA73,38.584,-8.6906,3
DISPONIVEL,ny52zu27hc10ue92,38.7167,-9.1333,4
DISPONIVEL,yK23cS72Ct62ID54,39.3558,-9.3811,5
DISPONIVEL,Kp46JP14sj58il83,40.8586,-8.6251,6
DISPONIVEL,xD64Xn39lD85cw61,38.8159,-9.1548,7
DISPONIVEL,Uj52uT92BQ72FV90,37.0194,-7.9322,8
DISPONIVEL,Zy49ix50lq12UY38,41.6932,-8.8329,9
INDISPONIVEL,Ph05xX46aM60nt02,38.8036,-9.1281,10
MANUTENCAO,lT17LG68WN44Ax16,38.584,-8.6906,11
OCUPADO,vN45tA50DL42wN70,39.8936,-8.2233,12
DISPONIVEL,le75FT91Vj01yA50,37.1296,-8.2996,13
DISPONIVEL,tr76NP62tl99fV33,39.0196,-9.1508,14
DISPONIVEL,sG13Nk15XL82Hq18,39.5096,-7.8153,15
DISPONIVEL,sh93nC25qG59XB11,41.811,-8.8525,16
OCUPADO,jT27US82TP53Qr74,41.0076,-8.6413,17
DISPONIVEL,Ne15dY60Ik17vS99,38.5244,-8.8882,18
INDISPONIVEL,mT28xz14Fg19hN31,39.3558,-9.3811,19
DISPONIVEL,Hp51Qu85zZ69EZ10,38.8139,-9.1323,20
OCUPADO,GD68nl46rw06fq29,39.7436,-8.8071,21
DISPONIVEL,dV46jE68AN96OL87,39.7436,-8.8071,22
INDISPONIVEL,UB42ZE57XU16iQ22,41.2357,-8.6199,23
MANUTENCAO,Sj96qG87gk27ZR07,39.3381,-9.3263,24
OCUPADO,zi46Jh89WT00Hl82,40.8166,-7.9985,25
DISPONIVEL,oi35qA26BD43MN06,41.1496,-8.611,26
DISPONIVEL,fO38Lh64nB92iK96,41.0639,-8.5587,27
OCUPADO,Dc60Fi19Az67cT52,40.9578,-8.5782,28
DISPONIVEL,EI27XA88CC12zz87,39.5096,-7.8153,29
OCUPADO,xa38Ji22gV96El49,38.5667,-7.9,30
