id_pedido,tipo_bem_servico,publico
4,Qukf HQDHFOYk,1
16,blnA fumpshrC,1
61,GNjm ChBIbiFS,1
51,bUgH ZKmBNUyo,0
28,DlFk cwWOwOiQ,1
100,ZkLD VZrSNmVl,1
95,utpp heMhXbPz,0
11,OlcR XnZRroxx,1
76,MInF rHzTBYHa,0
57,ErLd VxwHLVGU,1
21,PbiE DTYsJJoc,1
70,oaRv XDBohWJy,1
53,Kcsm ihJkRrfG,1
17,XVTG nKmpEPAB,0
27,PbiE DTYsJJoc,1
24,qYwP uuQjocJt,1
87,rvAM pBUAiQPK,1
80,Ovns upmkcmqj,1
75,oaRv XDBohWJy,1
96,DlFk cwWOwOiQ,1
80,DlFk cwWOwOiQ,1
9,dmQs lNmmySEe,0
45,OfgK UCZOzDqN,0
76,dmQs lNmmySEe,1
26,ZkLD VZrSNmVl,1
30,DlFk cwWOwOiQ,1
22,jzDR kzRaGEsP,1
32,GNjm ChBIbiFS,1
30,bntz rMqKyBzO,1
89,MJaM ftkPxFCD,1
14,QHbH BjTQPhIF,0
23,veuo gxYoVxlY,1
77,neaw HapQbOeE,1
43,CAKy RheMXDyC,0
36,buFC rlYSoiFl,1
48,OfgK UCZOzDqN,1
49,UXbz OOtYXPvX,1
51,dZaT PwJnSSVu,1
31,pIyh LrhBjngt,1
81,MInF rHzTBYHa,0
76,veuo gxYoVxlY,1
37,Tcjd CDwRqetn,0
37,OfgK UCZOzDqN,1
74,buFC rlYSoiFl,1
86,LaAQ IJJiWWhR,0
26,jzDR kzRaGEsP,0
68,MInF rHzTBYHa,0
7,DlFk cwWOwOiQ,0
5,wpsy aaxGBVcq,0
74,GNjm ChBIbiFS,0
86,OfgK UCZOzDqN,0
98,GNjm ChBIbiFS,1
45,jzDR kzRaGEsP,0
67,ggmc DOJvSUOg,1
71,fsGQ rTtHBtIG,1
78,wpsy aaxGBVcq,1
87,buFC rlYSoiFl,1
81,Yciw jWyTPGse,0
11,Tcjd CDwRqetn,1
80,OfgK UCZOzDqN,1
62,LmSV nytQWYin,1
13,GNjm ChBIbiFS,1
35,zvKN TJhGFYiD,0
6,DlFk cwWOwOiQ,1
9,pIyh LrhBjngt,1
41,oaRv XDBohWJy,1
63,ErLd VxwHLVGU,1
2,buFC rlYSoiFl,1
52,oaRv XDBohWJy,1
74,fsGQ rTtHBtIG,1
30,MInF rHzTBYHa,1
7,OlcR XnZRroxx,1
84,gBiw RsVVofrt,0
24,OfgK UCZOzDqN,0
79,Yciw jWyTPGse,1
89,dZaT PwJnSSVu,0
99,veuo gxYoVxlY,1
24,QVZL SjqItBNc,1
81,EAkm YXOOrRgD,1
28,Ovns upmkcmqj,1
26,WmcM GzzoBQrK,0
44,buFC rlYSoiFl,1
54,CqVc FwBTyCQn,1
87,pIyh LrhBjngt,1
62,EAkm YXOOrRgD,0
19,CAKy RheMXDyC,1
22,jTAU yCFQZxgC,1
91,gBiw RsVVofrt,1
36,MJaM ftkPxFCD,0
69,EAkm YXOOrRgD,1
46,EAkm YXOOrRgD,1
7,fsGQ rTtHBtIG,1
100,XNpQ KwyyprTp,1
81,dmQs lNmmySEe,1
52,jTAU yCFQZxgC,1
45,wpsy aaxGBVcq,1
38,ggmc DOJvSUOg,0
85,Yciw jWyTPGse,1
13,Ovns upmkcmqj,1
100,CqVc FwBTyCQn,1
76,pIyh LrhBjngt,1
10,bntz rMqKyBzO,1
5,jzDR kzRaGEsP,0
5,PbiE DTYsJJoc,0
13,bUgH ZKmBNUyo,0
81,neaw HapQbOeE,0
30,jTAU yCFQZxgC,0
90,bUgH ZKmBNUyo,1
15,UXbz OOtYXPvX,1
77,EAkm YXOOrRgD,1
52,AFZe aSFgwPox,0
9,OfgK UCZOzDqN,1
28,dmQs lNmmySEe,1
87,qYwP uuQjocJt,1
43,ggmc DOJvSUOg,1
12,dZaT PwJnSSVu,1
53,blnA fumpshrC,1
10,Tcjd CDwRqetn,1
96,buFC rlYSoiFl,0
57,zvKN TJhGFYiD,0
85,Tcjd CDwRqetn,1
5,Tcjd CDwRqetn,0
10,ErLd VxwHLVGU,0
66,XVTG nKmpEPAB,1
10,MInF rHzTBYHa,1
52,Kcsm ihJkRrfG,1
44,Qukf HQDHFOYk,1
43,XNpQ KwyyprTp,1
18,fsGQ rTtHBtIG,1
25,bntz rMqKyBzO,1
20,Tcjd CDwRqetn,1
79,yoWi xnDYCsmU,1
83,QVZL SjqItBNc,1
95,LmSV nytQWYin,1
9,UXbz OOtYXPvX,0
55,QVZL SjqItBNc,1
56,wafW sviqsJYZ,1
35,oaRv XDBohWJy,0
25,yoWi xnDYCsmU,0
42,ErLd VxwHLVGU,0
42,buFC rlYSoiFl,0
4,QHbH BjTQPhIF,1
18,XNpQ KwyyprTp,1
56,blnA fumpshrC,1
20,XVTG nKmpEPAB,0
80,EAkm YXOOrRgD,1
26,PbiE DTYsJJoc,0
76,EAkm YXOOrRgD,1
35,XVTG nKmpEPAB,1
60,blnA fumpshrC,1
