codigo_postal,rua,freguesia,concelho,distrito,latitude,longitude,pais,nº de porta
7330-013,Av de Teixeira,Bica,Marvão,Portalegre,39.4345,-7.3631,Portugal,24
3350-165,Av Mário Ruivo,Vila Nova de Poiares,Vila Nova de Poiares,Coimbra,40.2105,-8.2513,Portugal,05
2640-718,Largo de Machado,Alcainça,Mafra,Lisboa,38.9284,-9.3241,Portugal,50
3500-208,Rua de Pacheco,Viseu,Viseu,Viseu,40.661,-7.9097,Portugal,36
8700-342,Av de Melo,Olhão,Olhão,Faro,37.0286,-7.8411,Portugal,51
7050-034,Av Gonçalo Campos,Monte da Fonte de Torres,Montemor-o-Novo,Évora,38.6481,-8.2145,Portugal,52
8670-130,Praça de Sá,Igreja Nova,Aljezur,Faro,37.3165,-8.7961,Portugal,13
4640-117,Praça Lima,Baião,Baião,Porto,41.1627,-8.0347,Portugal,02
2890-056,Avenida de Silva,Alcochete,Alcochete,Setúbal,38.7553,-8.9609,Portugal,01
9135-429,Praça Guilherme Assunção,Camacha,Santa Cruz,Madeira,32.6792,-16.8446,Portugal,53
2625-410,Praça de Carneiro,Forte da Casa,Vila Franca de Xira,Lisboa,38.8709,-9.0682,Portugal,04
2750-999,Largo Borges,Cascais,Cascais,Lisboa,38.6979,-9.4215,Portugal,98
6090-460,Travessa das Congostas,Pedrogão,Penamacor,Castelo Branco,40.0886,-7.2385,Portugal,74
3810-485,Av Silva,Aveiro,Aveiro,Aveiro,40.6443,-8.6455,Portugal,34
9904-857,Alameda Matos,Horta,Horta,Azores,38.5333,-28.6333,Portugal,75
3525-610,Av das Garças,Lapa do Lobo,Nelas,Viseu,40.4762,-7.9179,Portugal,63
4635-254,Rua Leal,Santo Isidoro,Marco de Canaveses,Porto,41.2108,-8.1422,Portugal,03
9350-309,Largo Teresa Santos,Laje,Ribeira Brava,Madeira,32.7167,-17.0333,Portugal,64
8200-660,Largo Carneiro,Albufeira,Albufeira,Faro,37.0882,-8.2503,Portugal,10
2785-776,Praça Wilson Pereira,Madorna,Cascais,Lisboa,38.7012,-9.3276,Portugal,29
2825-421,Alameda Pinto,Costa de Caparica,Almada,Setúbal,38.6446,-9.2356,Portugal,20
2425-092,Avenida Mota,Monte Real,Leiria,Leiria,39.8521,-8.8635,Portugal,59
